parkalias,parkID,parkName,city,state,country
,ALB01,Riverside Park,Albany,NY,US
,ALT01,Columbia Park,Altoona,PA,US
Edison Field; Anaheim Stadium,ANA01,Angel Stadium of Anaheim,Anaheim,CA,US
,ARL01,Arlington Stadium,Arlington,TX,US
The Ballpark in Arlington; Ameriquest Fl,ARL02,Rangers Ballpark in Arlington,Arlington,TX,US
,ATL01,Atlanta-Fulton County Stadium,Atlanta,GA,US
,ATL02,Turner Field,Atlanta,GA,US
,ATL03,Suntrust Park,Atlanta,GA,US
,BAL01,Madison Avenue Grounds,Baltimore,MD,US
,BAL02,Newington Park,Baltimore,MD,US
,BAL03,Oriole Park I,Baltimore,MD,US
,BAL04,Belair Lot,Baltimore,MD,US
,BAL05,Monumental Park,Baltimore,MD,US
,BAL06,Oriole Park II,Baltimore,MD,US
,BAL07,Oriole Park III,Baltimore,MD,US
American League Park,BAL09,Oriole Park IV,Baltimore,MD,US
Oriole Park V,BAL10,Terrapin Park,Baltimore,MD,US
,BAL11,Memorial Stadium,Baltimore,MD,US
,BAL12,Oriole Park at Camden Yards,Baltimore,MD,US
Walpole Street Grounds,BOS01,South End Grounds I,Boston,MA,US
Union Park,BOS02,Dartmouth Grounds,Boston,MA,US
,BOS03,South End Grounds II,Boston,MA,US
,BOS04,Congress Street Grounds,Boston,MA,US
,BOS05,South End Grounds III,Boston,MA,US
,BOS06,Huntington Avenue Baseball Grounds,Boston,MA,US
,BOS07,Fenway Park,Boston,MA,US
Bee Hive,BOS08,Braves Field,Boston,MA,US
,BUF01,Riverside Grounds,Buffalo,NY,US
,BUF02,Olympic Park I,Buffalo,NY,US
,BUF03,Olympic Park II,Buffalo,NY,US
Federal League Park,BUF04,International Fair Association Grounds,Buffalo,NY,US
Pastime Park,CAN01,Mahaffey Park,Canton,OH,US
,CAN02,Pastime Park,Canton,OH,US
Union Base-ball Grounds,CHI01,Lake Front Park I,Chicago,IL,US
,CHI02,23rd Street Park,Chicago,IL,US
,CHI03,Lake Front Park II,Chicago,IL,US
Cricket Club Grounds; Union Grounds,CHI05,South Side Park I,Chicago,IL,US
,CHI06,West Side Park,Chicago,IL,US
,CHI07,South Side Park II,Chicago,IL,US
,CHI08,West Side Grounds,Chicago,IL,US
,CHI09,South Side Park III,Chicago,IL,US
White Sox Park,CHI10,Comiskey Park I,Chicago,IL,US
Weeghman Park; Cubs Park,CHI11,Wrigley Field,Chicago,IL,US
U.S. Cellular Field;White Sox Park; Comiskey Park II,CHI12,Guaranteed Rate Field,Chicago,IL,US
Union Cricket Club Grounds,CIN01,Lincoln Park Grounds,Cincinnati,OH,US
,CIN02,Avenue Grounds,Cincinnati,OH,US
,CIN03,Bank Street Grounds,Cincinnati,OH,US
,CIN04,League Park I,Cincinnati,OH,US
,CIN05,League Park II,Cincinnati,OH,US
League Park III,CIN06,Palace of the Fans,Cincinnati,OH,US
Redland Field,CIN07,Crosley Field,Cincinnati,OH,US
Riverfront Stadium,CIN08,Cinergy Field,Cincinnati,OH,US
,CIN09,Great American Ballpark,Cincinnati,OH,US
,CLE01,National Association Grounds,Cleveland,OH,US
Kennard Street Park,CLE02,League Park I,Cleveland,OH,US
American Association Park,CLE03,League Park II,Cleveland,OH,US
Players League Park,CLE04,Brotherhood Park,Cleveland,OH,US
National League Park III,CLE05,League Park III,Cleveland,OH,US
Dunn Field,CLE06,League Park IV,Cleveland,OH,US
Municipal Stadium,CLE07,Cleveland Stadium,Cleveland,OH,US
Jacobs Field,CLE08,Progressive Field,Cleveland,OH,US
,CLE09,Cedar Avenue Driving Park,Cleveland,OH,US
,CLL01,Euclid Beach Park,Collinwood,OH,US
,COL01,Recreation Park I,Columbus,OH,US
,COL02,Recreation Park II,Columbus,OH,US
,COL03,Neil Park I,Columbus,OH,US
,COL04,Neil Park II,Columbus,OH,US
,COV01,Star Baseball Park,Covington,KY,US
,DAY01,Fairview Park,Dayton,OH,US
,DEN01,Mile High Stadium,Denver,CO,US
,DEN02,Coors Field,Denver,CO,US
,DET01,Recreation Park,Detroit,MI,US
,DET02,Bennett Park,Detroit,MI,US
West End Park,DET03,Burns Park,Detroit,MI,US
Navin Field; Briggs Stadium,DET04,Tiger Stadium,Detroit,MI,US
,DET05,Comerica Park,Detroit,MI,US
,DOV01,Fairview Park Fair Grounds,Dover,DE,US
,ELM01,Maple Avenue Driving Park,Elmira,NY,US
Hamilton Field,FOR01,Grand Duchess,Fort Wayne,IN,US
,FOR03,Jailhouse Flats,Fort Wayne,IN,US
,FTB01,Fort Bragg Field,Fort Bragg,NC,US
Beyerle's Park,GEA01,Geauga Lake Grounds,Geauga Lake,OH,US
,GLO01,Gloucester Point Grounds,Gloucester City,NJ,US
,GLO02,Gloucester Fireworks Park,Gloucester City,NJ,US
,GRA01,Ramona Park,Grand Rapids,MI,US
,HAR01,Harrison Field,Harrison,NJ,US
,HOB01,Elysian Field,Hoboken,NJ,US
,HON01,Aloha Stadium,Honolulu,HI,US
,HOU01,Colt Stadium,Houston,TX,US
,HOU02,Astrodome,Houston,TX,US
Enron Field; Astros Field,HOU03,Minute Maid Park,Houston,TX,US
,HRT01,Hartford Ball Club Grounds,Hartford,CT,US
,HRT02,Hartford Trotting Park,Hartford,CT,US
,IND01,South Street Park,Indianapolis,IN,US
,IND02,Seventh Street Park I,Indianapolis,IN,US
,IND03,Bruce Grounds,Indianapolis,IN,US
,IND04,Seventh Street Park II,Indianapolis,IN,US
,IND05,Seventh Street Park III,Indianapolis,IN,US
,IND06,Indianapolis Park,Indianapolis,IN,US
Washington Park,IND07,Federal League Park,Indianapolis,IN,US
,IRO01,Windsor Beach,Irondequoit,NY,US
,JER01,Oakdale Park,Jersey City,NJ,US
,JER02,Roosevelt Stadium,Jersey City,NJ,US
,KAN01,Athletic Park,Kansas City,MO,US
,KAN02,Association Park,Kansas City,MO,US
,KAN03,Exposition Park,Kansas City,MO,US
,KAN04,Gordon and Koppel Field,Kansas City,MO,US
,KAN05,Municipal Stadium,Kansas City,MO,US
Royals Stadium,KAN06,Kauffman Stadium,Kansas City,MO,US
Walte's Pasture,KEO01,Perry Park,Keokuk,IA,US
,LAS01,Cashman Field,Las Vegas,NV,US
,LBV01,The Ballpark at Disney's Wide World,Lake Buena Vista,FL,US
,LON01,London Stadium,London,ENG,UK
,LOS01,Los Angeles Memorial Coliseum,Los Angeles,CA,US
,LOS02,Wrigley Field,Los Angeles,CA,US
Chavez Ravine,LOS03,Dodger Stadium,Los Angeles,CA,US
,LOU01,Louisville Baseball Park,Louisville,KY,US
,LOU02,Eclipse Park I,Louisville,KY,US
,LOU03,Eclipse Park II,Louisville,KY,US
,LOU04,Eclipse Park III,Louisville,KY,US
,LUD01,Ludlow Baseball Park,Ludlow,KY,US
,MAS01,Long Island Grounds,Maspeth,NY,US
JoeRobbie; ProPlayer; Dolphin; LandShark,MIA01,Sun Life Stadium,Miami,FL,US
,MIA02,Marlins Park,Miami,FL,US
,MID01,Mansfield Club Grounds,Middletown,CT,US
,MIL01,Milwaukee Base-Ball Grounds,Milwaukee,WI,US
,MIL02,Wright Street Grounds,Milwaukee,WI,US
,MIL03,Athletic Park,Milwaukee,WI,US
,MIL04,Lloyd Street Grounds,Milwaukee,WI,US
,MIL05,County Stadium,Milwaukee,WI,US
,MIL06,Miller Park,Milwaukee,WI,US
,MIN01,Athletic Park,Minneapolis,MN,US
,MIN02,Metropolitan Stadium,Bloomington,MN,US
,MIN03,Hubert H. Humphrey Metrodome,Minneapolis,MN,US
,MIN04,Target Field,Minneapolis,MN,US
,MNT01,Estadio Monterrey,Monterrey,Nuevo Leon,MX
Jarry Park,MON01,Parc Jarry,Montreal,QC,CA
Olympic Stadium,MON02,Stade Olympique,Montreal,QC,CA
Brewster Park,NEW01,Howard Avenue Grounds,New Haven,CT,US
,NEW02,Hamilton Park,New Haven,CT,US
Beyerle's Park,NEW03,Geauga Lake Grounds,Geauga Lake,OH,US
,NWK01,Wiedenmeyer's Park,Newark,NJ,US
,NYC01,Union Grounds,Brooklyn,NY,US
,NYC02,Capitoline Grounds,Brooklyn,NY,US
,NYC03,Polo Grounds I (Southeast Diamond),New York,NY,US
,NYC04,Polo Grounds II (Southwest Diamond),New York,NY,US
,NYC05,Washington Park I,Brooklyn,NY,US
,NYC06,Metropolitan Park,New York,NY,US
Ridgewood Park I,NYC07,Grauer's Ridgewood Park,Queens,NY,US
,NYC08,Washington Park II,Brooklyn,NY,US
,NYC09,Polo Grounds III,New York,NY,US
,NYC10,Polo Grounds IV,New York,NY,US
,NYC11,Eastern Park,Brooklyn,NY,US
,NYC12,Washington Park III,Brooklyn,NY,US
,NYC13,Hilltop Park,New York,NY,US
,NYC14,Polo Grounds V,New York,NY,US
,NYC15,Ebbets Field,Brooklyn,NY,US
,NYC16,Yankee Stadium I,New York,NY,US
William A. Shea Stadium,NYC17,Shea Stadium,New York,NY,US
Ridgewood Park II,NYC18,Wallace's Ridgewood Park,Queens,NY,US
,NYC19,Washington Park IV,Brooklyn,NY,US
,NYC20,Citi Field,New York,NY,US
,NYC21,Yankee Stadium II,New York,NY,US
Network Associates Coliseum,OAK01,Oakland-Alameda County Coliseum,Oakland,CA,US
,OMA01,TD Ameritrade Park,Omaha,NE,US
Pendleton Park,PEN01,East End Park,Cincinnati,OH,US
Athletics Park,PHI01,Jefferson Street Grounds,Philadelphia,PA,US
,PHI02,Centennial Park,Philadelphia,PA,US
,PHI03,Oakdale Park,Philadelphia,PA,US
,PHI04,Recreation Park,Philadelphia,PA,US
,PHI05,Keystone Park,Philadelphia,PA,US
,PHI06,Huntingdon Grounds I,Philadelphia,PA,US
,PHI07,Forepaugh Park,Philadelphia,PA,US
,PHI08,University of Penn. Athletic Field,Philadelphia,PA,US
,PHI09,Baker Bowl,Philadelphia,PA,US
,PHI10,Columbia Park,Philadelphia,PA,US
Connie Mack Stadium,PHI11,Shibe Park,Philadelphia,PA,US
,PHI12,Veterans Stadium,Philadelphia,PA,US
,PHI13,Citizens Bank Park,Philadelphia,PA,US
,PHI14,Huntingdon Grounds II,Philadelphia,PA,US
Bank One Ballpark,PHO01,Chase Field,Phoenix,AZ,US
,PIT01,Union Park,Pittsburgh,PA,US
Lower Field,PIT02,Exposition Park I,Pittsburgh,PA,US
Upper Field,PIT03,Exposition Park II,Pittsburgh,PA,US
,PIT04,Recreation Park,Pittsburgh,PA,US
,PIT05,Exposition Park III,Pittsburgh,PA,US
,PIT06,Forbes Field,Pittsburgh,PA,US
,PIT07,Three Rivers Stadium,Pittsburgh,PA,US
,PIT08,PNC Park,Pittsburgh,PA,US
,PRO01,Adelaide Avenue Grounds,Providence,RI,US
,PRO02,Messer Street Grounds,Providence,RI,US
,RCK01,Agricultural Society Fair Grounds,Rockford,IL,US
,RIC01,Richmond Fair Grounds,Richmond,VA,US
,RIC02,Allens Pasture,Richmond,VA,US
,ROC01,Culver Field I,Rochester,NY,US
,ROC02,Culver Field II,Rochester,NY,US
,ROC03,Ontario Beach Grounds,Rochester,NY,US
,SAI01,St. George Cricket Grounds,New York,NY,US
San Diego/Jack Murphy Stadium,SAN01,Qualcomm Stadium,San Diego,CA,US
,SAN02,PETCO Park,San Diego,CA,US
,SEA01,Sick's Stadium,Seattle,WA,US
,SEA02,Kingdome,Seattle,WA,US
T-Mobile Park,SEA03,Safeco Field,Seattle,WA,US
,SFO01,Seals Stadium,San Francisco,CA,US
3Com Park,SFO02,Candlestick Park,San Francisco,CA,US
Pacific Bell Park; SBC Park,SFO03,AT&T Park,San Francisco,CA,US
,SJU01,Estadio Hiram Bithorn,San Juan,,PR
Springfield Track,SPR01,Hampden Park Race Track,Springfield,MA,US
,STL01,Red Stockings Base Ball Park,St. Louis,MO,US
,STL02,Grand Avenue Park,St. Louis,MO,US
,STL03,Sportsman's Park I,St. Louis,MO,US
,STL04,Union Grounds,St. Louis,MO,US
,STL05,Robison Field,St. Louis,MO,US
,STL06,Sportsman's Park II,St. Louis,MO,US
Busch Stadium I,STL07,Sportsman's Park III,St. Louis,MO,US
Federal League Park,STL08,Handlan's Park,St. Louis,MO,US
,STL09,Busch Stadium II,St. Louis,MO,US
,STL10,Busch Stadium III,St. Louis,MO,US
,STP01,Tropicana Field,St. Petersburg,FL,US
,SYD01,Sydney Cricket Ground,Sydney,New South Wales,AU
Newell Park,SYR01,Star Park I,Syracuse,NY,US
,SYR02,Star Park II,Syracuse,NY,US
,SYR03,Iron Pier,Syracuse,NY,US
,THR01,Three Rivers Park,Three Rivers,NY,US
,TOK01,Tokyo Dome,Tokyo,Tokyo,JP
,TOL01,League Park,Toledo,OH,US
,TOL02,Tri-State Fair Grounds,Toledo,OH,US
,TOL03,Speranza Park,Toledo,OH,US
,TOL04,Armory Park,Toledo,OH,US
,TOR01,Exhibition Stadium,Toronto,ON,CA
Skydome,TOR02,Rogers Centre,Toronto,ON,CA
,TRO01,Haymakers' Grounds,Troy,NY,US
,TRO02,Putnam Grounds,Troy,NY,US
,WAR01,Rocky Point Park,Warwick,RI,US
,WAS01,Olympic Grounds,Washington,DC,US
,WAS02,National Grounds,Washington,DC,US
,WAS03,Capitol Grounds,Washington,DC,US
,WAS04,Athletic Park,Washington,DC,US
,WAS05,Swampoodle Grounds,Washington,DC,US
,WAS06,Boundary Field,Washington,DC,US
,WAS07,American League Park I,Washington,DC,US
,WAS08,American League Park II,Washington,DC,US
,WAS09,Griffith Stadium,Washington,DC,US
D.C. Stadium,WAS10,Robert F. Kennedy Stadium,Washington,DC,US
,WAS11,Nationals Park,Washington,DC,US
,WAT01,Troy Ball Club Grounds,Watervliet,NY,US
,WAV01,Waverly Fairgrounds,Waverly,NJ,US
,WEE01,Monitor Grounds,Weehawken,NJ,US
,WHE01,Island Grounds,Wheeling,WV,US
,WIL01,Union Street Park,Wilmington,DE,US
,WIL02,BB&T Ballpark at Bowman Field,Williamsport,PA,US
,WNY01,West New York Field Club Grounds,West New York,NJ,US
,WOR01,Agricultural County Fair Grounds I,Worcester,MA,US
,WOR02,Agricultural County Fair Grounds II,Worcester,MA,US
,WOR03,Worcester Driving Park Grounds,Worcester,MA,US
Estadio Alfredo Harp HelÃÂº,MEX02,Alfredo Harp HelÃÂº Stadium,Mexico City,CDMX,MX
,DYE01,Field of Dreams,Dyersville,IA,US
Dunedin Stadium at Grant Field; Knology Park; Florida Auto Exchange Stadium,DUN01,TD Ballpark,Dunedin,FL,US
Pilot Field; Downtown Ballpark; North AmeriCare Park; Dunn Tire Park; Coca-Cola Field,BUF05,Sahlen Field,Buffalo,NY,US
,ARL03,Field of Dreams,Arlington,TX,US
